Id,Label,Node_value,Node_cluster,Node_cluster_len,Node_lineage,Node_lineage_raw,Node_lineage2
0,0-B,1000,322,3179,B,B,B
2,2-A,100,568,1545,A,A,A
19,19-A,100,896,1151,A,A,A
45,45-A,100,568,1545,A,A,A
51,51-B.1,100,322,3179,B.1,B.1,B.1
152,152-B.1,1000,65,8098,B.1,B.1,B.1
163,163-B,100,322,3179,B,B,B
230,230-B.1.36,1000,186,3166,B.1.36,B.1.36,B.1.36
249,249-B.1,1000,514,1631,B.1,B.1,B.1
267,267-A.1,1000,896,1151,A.1,A.1,A
271,271-B.1,1000,92,9246,B.1,B.1,B.1
290,290-B.1.1,1000,24,28365,B.1.1,B.1.1,B.1.1
312,312-B.1.1,100,853,1201,B.1.1,B.1.1,B.1.1
317,317-B.1,1000,753,1311,B.1,B.1,B.1
318,318-B.1,100,663,1429,B.1,B.1,B.1
328,328-B.1.1,1000,171,4066,B.1.1,B.1.1,B.1.1
342,342-B.1.1,1000,356,2863,B.1.1,B.1.1,B.1.1
373,373-B.1,1000,663,1429,B.1,B.1,B.1
374,374-B.1,100,913,1134,B.1,B.1,B.1
427,427-B.1,1000,599,1508,B.1,B.1,B.1
469,469-B.1.1.1,1000,291,3138,B.1.1.1,B.1.1.1,B.1.1
555,555-A,100,896,1151,A,A,A
561,561-B.1,1000,108,6470,B.1,B.1,B.1
562,562-B.1,1000,389,1832,B.1,B.1,B.1
588,588-B.1.1.28,100,24,28365,B.1.1.28,B.1.1.28,B.1.1
627,627-B.1,100,913,1134,B.1,B.1,B.1
777,777-B.1,100,92,9246,B.1,B.1,B.1
797,797-B.1.595,1000,449,1723,B.1.595,B.1.595,B.1.595
871,871-B.1,100,810,1253,B.1,B.1,B.1
1473,1473-B.1,100,389,1832,B.1,B.1,B.1
1741,1741-A,100,568,1545,A,A,A
2767,2767-B.1.1.28,100,24,28365,B.1.1.28,B.1.1.28,B.1.1
3274,3274-B.1,1000,320,2676,B.1,B.1,B.1
3706,3706-B.1.243,1000,445,1730,B.1.243,B.1.243,B.1.243
4932,4932-B.1.1,100,888,2143,B.1.1,B.1.1,B.1.1
4986,4986-B.1.1.409,100,718,2143,B.1.1.409,B.1.1.409,B.1.1
5418,5418-B.1.1,100,853,1201,B.1.1,B.1.1,B.1.1
6004,6004-B.1.1.25,1000,691,1391,B.1.1.25,B.1.1.25,B.1.1
6811,6811-B.1.1.1,100,291,3138,B.1.1.1,B.1.1.1,B.1.1
8775,8775-B.1,100,444,3167,B.1,B.1,B.1
10188,10188-B.1,100,389,1832,B.1,B.1,B.1
10827,10827-B.1.595,100,449,1723,B.1.595,B.1.595,B.1.595
11019,11019-B.1.36,1000,818,2200,B.1.36,B.1.36,B.1.36
11315,11315-B.1.36.10,100,186,3166,B.1.36.10,B.1.36.10,B.1.36.10
11552,11552-B.1.1,100,225,7023,B.1.1,B.1.1,B.1.1
12054,12054-B.1,1000,604,1500,B.1,B.1,B.1
12326,12326-B.1.2,1000,77,8993,B.1.2,B.1.2,B.1.2
13604,13604-B.1,100,585,2274,B.1,B.1,B.1
13614,13614-B.1,100,913,1134,B.1,B.1,B.1
13667,13667-B.1.509,1000,810,1253,B.1.509,B.1.509,B.1.509
13735,13735-B.1.2,1000,350,1918,B.1.2,B.1.2,B.1.2
13910,13910-B.1,100,663,1429,B.1,B.1,B.1
14025,14025-B.1,100,119,6109,B.1,B.1,B.1
14112,14112-B.1.509,100,810,1253,B.1.509,B.1.509,B.1.509
