virus_id	accession_id	collection_date	country	pangolin_lineage
OEAV149109	EPI_ISL_424869	2020-03-04	USA	B.1
OEAV146725	EPI_ISL_420046	2020-03-17	France	B.1
OEAV262179	EPI_ISL_529215	2019-12-30	China	B
OEAV167225	EPI_ISL_445274	2020-03-15	Chile	B
OEAV192248	EPI_ISL_475878	2020-03-07	Austria	B.1.1
OEAV231311	EPI_ISL_507003	2020-03-14	Singapore	B.6
OEAV166783	EPI_ISL_444545	2020-03-14	USA	B.1
OEAV175039	EPI_ISL_454001	2020-03-09	Portugal	B.1.1
OEAV177531	EPI_ISL_455943	2020-03-15	Thailand	B.1
OEAV156398	EPI_ISL_435636	2020-03-11	USA	B
OEAV200619	EPI_ISL_481077	2020-03-10	Spain	B.1
OEAV143388	EPI_ISL_419719	2020-03-17	Australia	A.1
OEAV202186	EPI_ISL_483001	2020-03-15	USA	A.1
OEAV228158	EPI_ISL_497796	2020-03-15	Hong Kong	B.39
OEAV149920	EPI_ISL_422992	2020-03-17	USA	A.1
OEAV171702	EPI_ISL_447919	2020-02-04	Thailand	B
OEAV175109	EPI_ISL_454071	2020-03-18	Portugal	B.1.1
OEAV15138473	EPI_ISL_426600	2020-03-17	USA	A.1
OEAV156154	EPI_ISL_434701	2020-03-14	Thailand	A.6
OEAV181440	EPI_ISL_462179	2020-03-17	Belgium	B.1.12
OEAV142601	EPI_ISL_415658	2020-03-06	Chile	A.2
OEAV152406	EPI_ISL_427550	2020-03-14	USA	B.1
OEAV146877	EPI_ISL_417195	2020-02-09	Hong Kong	B.43
OEAV158192	EPI_ISL_436564	2020-03-12	USA	B
OEAV191742	EPI_ISL_471444	2020-02-20	South Korea	B.41
OEAV000270	EPI_ISL_404227	2020-01-16	China	B
OEAV148298	EPI_ISL_425658	2020-03-15	United Kingdom	A
OEAV147494	EPI_ISL_417679	2020-03-09	Iceland	B.1.1.17
OEAV152345	EPI_ISL_427582	2020-03-15	USA	B.1
OEAV152372	EPI_ISL_427609	2020-03-16	USA	B
OEAV149659	EPI_ISL_422979	2020-03-16	USA	B.1.371
OEAV148822	EPI_ISL_420127	2020-03-12	Spain	B.1
OEAV148055	EPI_ISL_422874	2020-03-11	Netherlands	B.55
OEAV150258	EPI_ISL_418071	2020-03-15	USA	A.1
OEAV187851	EPI_ISL_467374	2020-03-18	Indonesia	B
OEAV155759	EPI_ISL_428682	2020-03-11	Spain	B.1
OEAV177096	EPI_ISL_454914	2020-03-03	China	B
OEAV149915	EPI_ISL_422995	2020-03-17	USA	A.1
OEAV144062	EPI_ISL_418847	2020-03-12	Canada	A.1
OEAV227614	EPI_ISL_500105	2020-03-02	United Kingdom	B.1.1
OEAV235769	EPI_ISL_510444	2020-03-15	Spain	A.2
OEAV189406	EPI_ISL_468586	2020-03-12	USA	B.1
OEAV146700	EPI_ISL_418239	2020-03-16	France	B.1
OEAV144374	EPI_ISL_418728	2020-03-18	United Kingdom	B.1.1
OEAV174030	EPI_ISL_452347	2020-03-15	China	B.1
